,frameId,rect_x1,rect_y1,tect_x2,rect_y2
0,1,910,490,1010,590
1,2,910,490,1010,590
2,3,910,490,1010,590
3,4,910,490,1010,590
4,5,910,490,1010,590
5,6,910,490,1010,590
6,7,910,490,1010,590
7,8,910,490,1010,590
8,9,910,490,1010,590
9,10,910,490,1010,590
10,11,910,490,1010,590
11,12,910,490,1010,590
12,13,910,490,1010,590
13,14,910,490,1010,590
14,15,910,490,1010,590
15,16,910,490,1010,590
16,17,910,490,1010,590
17,18,910,490,1010,590
18,19,910,490,1010,590
19,20,910,490,1010,590
20,21,910,490,1010,590
21,22,910,490,1010,590
22,23,910,490,1010,590
23,24,910,490,1010,590
24,25,910,490,1010,590
25,26,910,490,1010,590
26,27,910,490,1010,590
27,28,910,490,1010,590
28,29,910,490,1010,590
29,30,910,490,1010,590
30,31,910,490,1010,590
31,32,910,490,1010,590
32,33,910,490,1010,590
33,34,910,490,1010,590
34,35,910,490,1010,590
35,36,910,490,1010,590
36,37,910,490,1010,590
37,38,910,490,1010,590
38,39,910,490,1010,590
39,40,910,490,1010,590
40,41,910,490,1010,590
41,42,910,490,1010,590
42,43,910,490,1010,590
43,44,910,490,1010,590
44,45,910,490,1010,590
45,46,910,490,1010,590
46,47,910,490,1010,590
47,48,910,490,1010,590
48,49,910,490,1010,590
49,50,910,490,1010,590
50,51,910,490,1010,590
51,52,910,490,1010,590
52,53,910,490,1010,590
53,54,910,490,1010,590
54,55,910,490,1010,590
55,56,910,490,1010,590
56,57,910,490,1010,590
57,58,910,490,1010,590
58,59,910,490,1010,590
59,60,910,490,1010,590
60,61,910,490,1010,590
61,62,910,490,1010,590
62,63,910,490,1010,590
63,64,910,490,1010,590
64,65,910,490,1010,590
65,66,910,490,1010,590
66,67,910,490,1010,590
67,68,910,490,1010,590
68,69,910,490,1010,590
69,70,910,490,1010,590
70,71,910,490,1010,590
71,72,910,490,1010,590
72,73,910,490,1010,590
73,74,910,490,1010,590
74,75,910,490,1010,590
75,76,910,490,1010,590
76,77,910,490,1010,590
77,78,910,490,1010,590
78,79,910,490,1010,590
79,80,910,490,1010,590
80,81,910,490,1010,590
81,82,910,490,1010,590
82,83,910,490,1010,590
83,84,910,490,1010,590
84,85,910,490,1010,590
85,86,910,490,1010,590
86,87,910,490,1010,590
87,88,910,490,1010,590
88,89,910,490,1010,590
89,90,910,490,1010,590
90,91,910,490,1010,590
91,92,910,490,1010,590
92,93,910,490,1010,590
93,94,910,490,1010,590
94,95,910,490,1010,590
95,96,910,490,1010,590
96,97,910,490,1010,590
97,98,910,490,1010,590
98,99,910,490,1010,590
99,100,910,490,1010,590
100,101,910,490,1010,590
101,102,910,490,1010,590
102,103,910,490,1010,590
103,104,910,490,1010,590
104,105,910,490,1010,590
105,106,910,490,1010,590
106,107,910,490,1010,590
107,108,910,490,1010,590
108,109,910,490,1010,590
109,110,910,490,1010,590
110,111,910,490,1010,590
111,112,910,490,1010,590
112,113,910,490,1010,590
113,114,910,490,1010,590
114,115,910,490,1010,590
115,116,910,490,1010,590
116,117,910,490,1010,590
117,118,910,490,1010,590
118,119,910,490,1010,590
119,120,910,490,1010,590
120,121,910,490,1010,590
121,122,910,490,1010,590
122,123,910,490,1010,590
123,124,910,490,1010,590
124,125,910,490,1010,590
125,126,910,490,1010,590
126,127,910,490,1010,590
127,128,910,490,1010,590
128,129,910,490,1010,590
129,130,910,490,1010,590
130,131,910,490,1010,590
131,132,910,490,1010,590
132,133,910,490,1010,590
133,134,910,490,1010,590
134,135,910,490,1010,590
135,136,910,490,1010,590
136,137,910,490,1010,590
137,138,910,490,1010,590
138,139,910,490,1010,590
139,140,910,490,1010,590
140,141,910,490,1010,590
141,142,910,490,1010,590
142,143,910,490,1010,590
143,144,910,490,1010,590
144,145,910,490,1010,590
145,146,910,490,1010,590
146,147,910,490,1010,590
147,148,910,490,1010,590
148,149,910,490,1010,590
149,150,910,490,1010,590
150,151,910,490,1010,590
151,152,910,490,1010,590
152,153,910,490,1010,590
153,154,910,490,1010,590
154,155,910,490,1010,590
155,156,910,490,1010,590
156,157,910,490,1010,590
157,158,910,490,1010,590
158,159,910,490,1010,590
159,160,910,490,1010,590
160,161,910,490,1010,590
161,162,910,490,1010,590
162,163,910,490,1010,590
163,164,910,490,1010,590
164,165,910,490,1010,590
165,166,910,490,1010,590
166,167,910,490,1010,590
167,168,910,490,1010,590
168,169,910,490,1010,590
169,170,910,490,1010,590
170,171,910,490,1010,590
171,172,910,490,1010,590
172,173,910,490,1010,590
173,174,910,490,1010,590
174,175,910,490,1010,590
175,176,910,490,1010,590
176,177,910,490,1010,590
177,178,910,490,1010,590
178,179,910,490,1010,590
179,180,910,490,1010,590
180,181,910,490,1010,590
181,182,910,490,1010,590
182,183,910,490,1010,590
183,184,910,490,1010,590
184,185,910,490,1010,590
185,186,910,490,1010,590
186,187,910,490,1010,590
187,188,910,490,1010,590
188,189,910,490,1010,590
189,190,910,490,1010,590
190,191,910,490,1010,590
191,192,910,490,1010,590
192,193,910,490,1010,590
193,194,910,490,1010,590
194,195,910,490,1010,590
195,196,910,490,1010,590
196,197,910,490,1010,590
197,198,910,490,1010,590
198,199,910,490,1010,590
199,200,910,490,1010,590
200,201,910,490,1010,590
201,202,910,490,1010,590
202,203,910,490,1010,590
203,204,910,490,1010,590
204,205,910,490,1010,590
205,206,910,490,1010,590
206,207,910,490,1010,590
207,208,910,490,1010,590
208,209,910,490,1010,590
209,210,910,490,1010,590
210,211,910,490,1010,590
211,212,910,490,1010,590
212,213,910,490,1010,590
213,214,910,490,1010,590
214,215,910,490,1010,590
215,216,910,490,1010,590
216,217,910,490,1010,590
217,218,910,490,1010,590
218,219,910,490,1010,590
219,220,910,490,1010,590
220,221,910,490,1010,590
221,222,910,490,1010,590
222,223,910,490,1010,590
223,224,910,490,1010,590
224,225,910,490,1010,590
225,226,910,490,1010,590
226,227,910,490,1010,590
227,228,910,490,1010,590
228,229,910,490,1010,590
229,230,910,490,1010,590
230,231,910,490,1010,590
231,232,910,490,1010,590
232,233,910,490,1010,590
233,234,910,490,1010,590
234,235,910,490,1010,590
235,236,910,490,1010,590
236,237,910,490,1010,590
237,238,910,490,1010,590
238,239,910,490,1010,590
239,240,910,490,1010,590
240,241,910,490,1010,590
241,242,910,490,1010,590
242,243,910,490,1010,590
243,244,910,490,1010,590
244,245,910,490,1010,590
245,246,910,490,1010,590
246,247,910,490,1010,590
247,248,910,490,1010,590
248,249,910,490,1010,590
249,250,910,490,1010,590
250,251,910,490,1010,590
251,252,910,490,1010,590
252,253,910,490,1010,590
253,254,910,490,1010,590
254,255,910,490,1010,590
255,256,910,490,1010,590
256,257,910,490,1010,590
257,258,910,490,1010,590
258,259,910,490,1010,590
259,260,910,490,1010,590
260,261,910,490,1010,590
261,262,910,490,1010,590
262,263,910,490,1010,590
263,264,910,490,1010,590
264,265,910,490,1010,590
265,266,910,490,1010,590
266,267,910,490,1010,590
267,268,910,490,1010,590
268,269,910,490,1010,590
269,270,910,490,1010,590
270,271,910,490,1010,590
271,272,910,490,1010,590
272,273,910,490,1010,590
273,274,910,490,1010,590
274,275,910,490,1010,590
275,276,910,490,1010,590
276,277,910,490,1010,590
277,278,910,490,1010,590
278,279,910,490,1010,590
279,280,910,490,1010,590
280,281,910,490,1010,590
281,282,910,490,1010,590
282,283,910,490,1010,590
283,284,910,490,1010,590
284,285,910,490,1010,590
285,286,910,490,1010,590
286,287,910,490,1010,590
287,288,910,490,1010,590
